name,faceSrc,team,position,age,height,number,rating
Devonte Lloyd,https://a.espncdn.com/combiner/i?img=/i/headshots/college-football/players/full/4570213.png&w=150,2335,13,20,6"2',86,60
Solomon Ajayi,https://a.espncdn.com/combiner/i?img=/i/headshots/college-football/players/full/4246885.png&w=150,2335,13,21,6"1',14,80
Malik Caper,https://a.espncdn.com/combiner/i?img=/i/headshots/college-football/players/full/4426856.png&w=150,2335,13,18,6"1',5,65
Waylen Cozad,https://a.espncdn.com/combiner/i?img=/i/headshots/college-football/players/full/4570228.png&w=150,2335,13,20,6"2',33,69
Tyren Dupree,https://a.espncdn.com/combiner/i?img=/i/headshots/college-football/players/full/4365481.png&w=150,2335,13,18,6"2',35,70
Remington Green,https://a.espncdn.com/combiner/i?img=/i/headshots/college-football/players/full/4246901.png&w=150,2335,13,20,6"0',47,66
Amarii Jenkins,https://a.espncdn.com/combiner/i?img=/i/headshots/college-football/players/full/4246903.png&w=150,2335,13,19,6"0',9,70
Christian Launius,https://a.espncdn.com/combiner/i?img=/i/headshots/college-football/players/full/4049432.png&w=150,2335,13,20,5"11',49,60
Vincent Mangogna,https://a.espncdn.com/combiner/i?img=/i/headshots/college-football/players/full/4365497.png&w=150,2335,13,20,6"0',50,60
Cheapell Morris,https://a.espncdn.com/combiner/i?img=/i/headshots/college-football/players/full/4365498.png&w=150,2335,13,21,6"2',27,60
Aaron Pierre,https://a.espncdn.com/combiner/i?img=/i/headshots/college-football/players/full/4246912.png&w=150,2335,13,19,6"0',32,60
Carl Poole,https://a.espncdn.com/combiner/i?img=/i/headshots/college-football/players/full/4570214.png&w=150,2335,13,18,5"11',57,60
Tyron Staples,https://a.espncdn.com/combiner/i?img=/i/headshots/college-football/players/full/4246919.png&w=150,2335,13,20,6"0',30,60
Brandon Tillmon,https://a.espncdn.com/combiner/i?img=/i/headshots/college-football/players/full/4029912.png&w=150,2335,13,21,6"0',12,72
Aubrey Williams,https://a.espncdn.com/combiner/i?img=/i/headshots/college-football/players/full/4428875.png&w=150,2335,13,18,6"2',4,65
Isaiah Avery,https://a.espncdn.com/combiner/i?img=/i/headshots/college-football/players/full/4570203.png&w=150,2335,16,18,6"1',18,67
Kei'Trel Clark,,2335,16,18,5"10',72,60
Emanuel Dabney,https://a.espncdn.com/combiner/i?img=/i/headshots/college-football/players/full/4570207.png&w=150,2335,16,20,5"11',2,67
Kimani Donaldson,https://a.espncdn.com/combiner/i?img=/i/headshots/college-football/players/full/4246898.png&w=150,2335,16,19,6"0',22,60
Jimmy Faulks,https://a.espncdn.com/combiner/i?img=/i/headshots/college-football/players/full/4029891.png&w=150,2335,16,20,6"1',8,68
